Designator,Footprint,Quantity,Value,LCSC Part #
J1,DC_Jack_2.1,1,Barrel_Jack_Switch,
"J10, J11, J12, J13, J14, J15, J16, J17, J18, J19, J2, J20, J21, J22, J23, J24, J25, J3, J4, J5, J6, J7, J8, J9",Mini_Jack,24,Audio_Jack,
"JP10, JP9",1X02-BIG,2,PINHD-1X2,
